@relation data_uji_mipa_ipk_dem
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"P","IF","G4","SRJN","GRD","GRD","IPK_SM"
"P","BIO","G1","SMTA","BPN","PDG","IPK_SM"
"L","BIO","G4","SRJN","LL","PS","IPK_SM"
"P","BIO","G2","SMP","BPN","BPN","IPK_SM"
"L","FISIKA","G1","LL","LL","LL","IPK_SM"
"P","MTK","G5","SRJN","PDG","PDG","IPK_SM"
"P","MTK","G3","SMP","LL","PS","IPK_SM"
"P","BIO","G2","SMTA","LL","PDG","IPK_SM"
"P","MTK","G2","SMTA","PDG","PDG","IPK_SM"
"P","BIO","G5","SRJN","GRD","PSN","IPK_SM"
"P","BIO","G4","SRJN","PNS","PNS","IPK_SM"
"L","MTK","G1","SMTA","PS","PS","IPK_SM"
"P","FISIKA","G3","SMTA","LL","PDG","IPK_SM"
"P","MTK","G2","SMP","PDG","LL","IPK_SM"
"L","IF","G7","SRJN","LL","GRD","IPK_SM"
"P","FISIKA","G2","SMTA","LL","BPN","IPK_SM"
"L","IF","G4","SRJN","PDG","PDG","IPK_SM"
"L","BIO","G3","SRJN","PDG","PSN","IPK_SM"
"L","IF","G4","SRJN","GRD","GRD","IPK_SM"
"P","MTK","G1","LL","LL","LL","IPK_SM"
"L","MTK","G3","SMTA","LL","PSN","IPK_SM"
"P","BIO","G3","SD","LL","PDG","IPK_SM"
"L","IF","G2","SMTA","LL","PDG","IPK_SM"
"P","FISIKA","G2","SMTA","LL","PS","IPK_SM"
"L","BIO","G3","SMTA","PS","BPN","IPK_SM"
"P","MTK","G3","SRJN","GRD","GRD","IPK_SM"
"L","MTK","G3","SMTA","LL","PNS","IPK_SM"
"P","FISIKA","G2","SD","LL","LL","IPK_SM"
"P","BIO","G4","SRJN","GRD","GRD","IPK_SM"
"P","BIO","G1","SD","BPN","BPN","IPK_SM"
"P","BIO","G4","SMTA","LL","PDG","IPK_SM"
"L","MTK","G1","LL","PDG","BPN","IPK_SM"
"P","BIO","G2","LL","BPN","BPN","IPK_SM"
"P","FISIKA","G3","SMP","LL","PNS","IPK_SM"
"P","BIO","G2","SD","BPN","BPN","IPK_SM"
"P","BIO","G3","SMP","PDG","PDG","IPK_SM"
"P","MTK","G1","SMTA","LL","LL","IPK_SM"
"P","MTK","G3","SMTA","LL","PS","IPK_SM"
"P","BIO","G3","SRJN","GRD","LL","IPK_SM"
"L","FISIKA","G4","SRJN","GRD","PNS","IPK_SM"
"P","BIO","G3","SD","LL","PDG","IPK_SM"
"L","MTK","G3","SRJN","LL","PDG","IPK_SM"
"P","BIO","G4","SD","PDG","PNS","IPK_SM"
"L","IF","G4","SMTA","LL","PNS","IPK_SM"
"P","IF","G7","SRJN","GRD","PNS","IPK_SM"
"P","BIO","G4","LL","BPN","BPN","IPK_SM"
"P","FISIKA","G2","LL","BPN","BPN","IPK_SM"
"P","BIO","G4","SRJN","GRD","GRD","IPK_SM"
"P","MTK","G3","SMTA","PDG","PDG","IPK_SM"
"P","BIO","G3","SRJN","GRD","GRD","IPK_SM"
"P","BIO","G3","SMTA","PDG","PNS","IPK_SM"
"P","MTK","G3","SRJN","GRD","GRD","IPK_SM"
"P","MTK","G2","LL","LL","LL","IPK_SM"
"P","MTK","G3","SRJN","PDG","LL","IPK_SM"
"P","FISIKA","G3","SMTA","PNS","PS","IPK_SM"
"P","IF","G4","SMP","LL","PDG","IPK_SM"
"L","FISIKA","G2","SD","BPN","BPN","IPK_SM"
"P","FISIKA","G3","LL","LL","PSN","IPK_SM"
"L","MTK","G4","SMP","LL","PDG","IPK_SM"
"P","FISIKA","G2","SMP","PDG","LL","IPK_SM"
"P","FISIKA","G3","SRJN","GRD","PSN","IPK_SM"
"L","IF","G4","SMP","PDG","PDG","IPK_SM"
"L","FISIKA","G4","SMTA","PDG","PNS","IPK_SM"
"P","MTK","G6","SMTA","PNS","PNS","IPK_SM"
"P","IF","G2","SD","BPN","BPN","IPK_SM"
"P","FISIKA","G3","SMTA","PS","PDG","IPK_SM"
"P","BIO","G1","SRJN","GRD","BPN","IPK_SM"
"P","MTK","G5","SMTA","PDG","PDG","IPK_SM"
"L","MTK","G2","SMTA","LL","PSN","IPK_SM"
"P","BIO","G3","SRJN","GRD","GRD","IPK_SM"
"L","IF","G3","SMP","PNS","GRD","IPK_SM"
"L","MTK","G3","SD","PDG","BPN","IPK_SM"
"P","MTK","G4","SRJN","PNS","PDG","IPK_SM"
"L","BIO","G1","SD","LL","BPN","IPK_SM"
"P","BIO","G4","SMTA","LL","PNS","IPK_SM"
"L","BIO","G3","SRJN","GRD","PDG","IPK_SM"
"P","IF","G4","SMTA","LL","GRD","IPK_SM"
"L","MTK","G2","LL","BPN","BPN","IPK_SM"
"L","IF","G2","SMP","BPN","PS","IPK_SM"
"L","MTK","G3","SMTA","GRD","GRD","IPK_SM"
"L","FISIKA","G4","SD","BPN","PSN","IPK_SM"
"P","BIO","G2","SMTA","LL","PS","IPK_SM"
"P","IF","G3","SMTA","LL","PSN","IPK_SM"
"P","BIO","G4","SRJN","PNS","PNS","IPK_SM"
"P","MTK","G3","SMP","PDG","PDG","IPK_SM"
"L","FISIKA","G3","SRJN","GRD","GRD","IPK_SM"
"P","BIO","G3","SMTA","LL","PS","IPK_SM"
"P","MTK","G3","SMTA","LL","PDG","IPK_SM"
"P","FISIKA","G2","SMTA","LL","LL","IPK_SM"
"P","IF","G4","SMTA","PDG","GRD","IPK_SM"
"P","MTK","G5","SRJN","PS","PDG","IPK_SM"
"P","IF","G1","SD","PS","BPN","IPK_SM"
"P","MTK","G1","SMTA","LL","LL","IPK_SM"
"P","MTK","G2","SRJN","GRD","GRD","IPK_SM"
"L","IF","G2","SMTA","PDG","PDG","IPK_SM"
"P","MTK","G2","SMTA","BPN","BPN","IPK_SM"
"P","MTK","G3","SMTA","LL","PSN","IPK_SM"
"P","BIO","G3","SMTA","PS","GRD","IPK_SM"
"L","FISIKA","G4","SMP","PDG","PDG","IPK_SM"
"P","MTK","G3","SMTA","LL","BPN","IPK_SM"
"P","MTK","G3","SMTA","LL","PDG","IPK_SM"
"P","MTK","G3","SMTA","GRD","PDG","IPK_SM"
"P","MTK","G2","SD","BPN","BPN","IPK_SM"
"P","MTK","G2","SMTA","LL","PNS","IPK_SM"
"P","BIO","G1","SD","PDG","PDG","IPK_SM"
"L","MTK","G3","SMTA","LL","PDG","IPK_SM"
"L","FISIKA","G1","LL","BPN","BPN","IPK_SM"
"P","MTK","G3","SMTA","BPN","BPN","IPK_SM"
"P","MTK","G4","SRJN","GRD","PNS","IPK_SM"
"P","MTK","G3","SMTA","PNS","PDG","IPK_SM"
"L","IF","G2","SMTA","LL","PNS","IPK_SM"
"P","MTK","G3","LL","PS","BPN","IPK_SM"
"P","BIO","G3","SRJN","GRD","PS","IPK_SM"
"L","BIO","G2","SRJN","PDG","BPN","IPK_SM"
"P","MTK","G3","SMTA","LL","PDG","IPK_SM"
"P","MTK","G3","SMP","LL","PDG","IPK_SM"
"P","BIO","G4","SMTA","LL","PDG","IPK_SM"
"P","BIO","G2","LL","LL","BPN","IPK_SM"
"P","BIO","G2","SD","LL","PDG","IPK_SM"
"P","BIO","G2","SD","PDG","BPN","IPK_SM"
"P","MTK","G4","SMP","PDG","PDG","IPK_SM"
"P","MTK","G2","SMTA","LL","BPN","IPK_SM"
"P","MTK","G1","SMTA","PDG","LL","IPK_SM"
"P","BIO","G2","SD","LL","PDG","IPK_SM"
"P","BIO","G1","SMTA","LL","PDG","IPK_SM"
"L","IF","G3","SMP","LL","PS","IPK_SM"
"P","FISIKA","G4","SMTA","LL","GRD","IPK_SM"
"P","BIO","G1","SD","BPN","BPN","IPK_SM"
"P","BIO","G2","SMP","LL","PS","IPK_SM"
"P","MTK","G2","SMP","LL","PNS","IPK_SM"
"L","IF","G5","SRJN","GRD","PNS","IPK_SM"
"P","IF","G5","SMTA","PDG","PDG","IPK_SM"
"L","IF","G4","SMTA","PNS","PSN","IPK_SM"
"P","IF","G6","SRJN","LL","PNS","IPK_SM"
"P","BIO","G4","SMTA","GRD","PDG","IPK_SM"
"L","MTK","G3","SRJN","PNS","GRD","IPK_SM"
